Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.02,0.02,0.02,0.02,0.02,55800
2013-07-17,0.02,0.02,0.02,0.02,0.02,174100
2013-07-18,0.02,0.02,0.02,0.02,0.02,0
2013-07-19,0.02,0.02,0.02,0.02,0.02,0
2013-07-22,0.02,0.02,0.02,0.02,0.02,0
2013-07-23,0.02,0.02,0.02,0.02,0.02,0
2013-07-24,0.02,0.02,0.02,0.02,0.02,300
2013-07-25,0.02,0.02,0.02,0.02,0.02,0
2013-07-26,0.02,0.02,0.02,0.02,0.02,0
2013-07-29,0.02,0.02,0.02,0.02,0.02,0
2013-07-30,0.02,0.02,0.02,0.02,0.02,0
2013-07-31,0.02,0.02,0.02,0.02,0.02,0
2013-08-01,0.02,0.02,0.02,0.02,0.02,0
2013-08-02,0.02,0.02,0.02,0.02,0.02,0
2013-08-05,0.02,0.02,0.02,0.02,0.02,0
2013-08-06,0.02,0.02,0.02,0.02,0.02,0
2013-08-07,0.02,0.02,0.02,0.02,0.02,0
2013-08-08,0.02,0.02,0.02,0.02,0.02,0
2013-08-09,0.02,0.02,0.02,0.02,0.02,0
2013-08-12,0.02,0.02,0.02,0.02,0.02,0
2013-08-13,0.02,0.02,0.02,0.02,0.02,0
2013-08-14,0.02,0.02,0.02,0.02,0.02,0
2013-08-15,0.02,0.02,0.02,0.02,0.02,0
2013-08-16,0.02,0.02,0.02,0.02,0.02,0
2013-08-19,0.02,0.02,0.02,0.02,0.02,0
2013-08-20,0.02,0.02,0.02,0.02,0.02,0
2013-08-21,0.03,0.03,0.03,0.03,0.03,130000
2013-08-22,0.03,0.03,0.03,0.03,0.03,0
2013-08-23,0.03,0.03,0.03,0.03,0.03,0
2013-08-26,0.03,0.03,0.03,0.03,0.03,0
2013-08-27,0.03,0.03,0.03,0.03,0.03,0
2013-08-28,0.03,0.03,0.03,0.03,0.03,0
2013-08-29,0.03,0.03,0.03,0.03,0.03,40000
2013-08-30,0.03,0.03,0.03,0.03,0.03,0
2013-09-03,0.03,0.03,0.03,0.03,0.03,30100
2013-09-04,0.03,0.03,0.03,0.03,0.03,0
2013-09-05,0.03,0.03,0.03,0.03,0.03,0
2013-09-06,0.03,0.03,0.03,0.03,0.03,0
2013-09-09,0.03,0.03,0.03,0.03,0.03,0
2013-09-10,0.03,0.03,0.03,0.03,0.03,0
2013-09-11,0.03,0.03,0.03,0.03,0.03,0
2013-09-12,0.03,0.03,0.03,0.03,0.03,0
2013-09-13,0.03,0.03,0.03,0.03,0.03,3000
2013-09-16,0.03,0.03,0.03,0.03,0.03,0
2013-09-17,0.03,0.03,0.03,0.03,0.03,0
2013-09-18,0.03,0.03,0.03,0.03,0.03,0
